Numer,Naglowek,Cena,Cena za m2,Powierzchnia
0,"ul. Wielkokacka, Witomino-Leśniczówka, Gdynia, pomorskie",445012.5,11867,37.5
1,"ul. Bosmańska, Oksywie, Gdynia, pomorskie",449002.5,9825,45.7
2,"ul. Podgórska, Obłuże, Gdynia, pomorskie",549007.0,11681,47
3,"ul. Wiejska, Chylonia, Gdynia, pomorskie",515021.0,11908,43.25
4,"ul. Jana Kamrowskiego, Wiczlino, Gdynia, pomorskie",499005.2,11659,42.8
5,"ul. Stolarska, Obłuże, Gdynia, pomorskie",260004.0,13830,18.8
6,"ul. Dedala, Babie Doły, Gdynia, pomorskie",596988.0,12978,46
7,"ul. Benisławskiego, Obłuże, Gdynia, pomorskie",515975.6,10157,50.8
8,"ul. Morska, Działki Leśne, Gdynia, pomorskie",315006.36,14397,21.88
9,"ul. Stanisława Wyspiańskiego, Wzgórze Św. Maksymiliana, Gdynia, pomorskie",578994.78,15149,38.22
10,"ul. Swarzewska, Chylonia, Gdynia, pomorskie",549000.0,9150,60
11,"ul. Jana Dantyszka, Leszczynki, Gdynia, pomorskie",518976.0,9792,53
12,"ul. Morska, Grabówek, Gdynia, pomorskie",594000.0,11000,54
13,"ul. Jana Dantyszka, Leszczynki, Gdynia, pomorskie",498982.12,10933,45.64
14,"osiedle Beauforta, Pogórze, Gdynia, pomorskie",522995.19,12251,42.69
15,"ul. Morska, Chylonia, Gdynia, pomorskie",599022.0,11093,54
16,"ul. Helska, Chylonia, Gdynia, pomorskie",498998.5,10967,45.5
17,"ul. gen. Orlicz-Dreszera, Leszczynki, Gdynia, pomorskie",589000.0,9500,62
18,"ul. Lipowa, Wielki Kack, Gdynia, pomorskie",599024.4,10716,55.9
19,"Płyta Redłowska, Redłowo, Gdynia, pomorskie",415012.5,16275,25.5
20,"ul. Stanisława Kosko, Obłuże, Gdynia, pomorskie",508990.8,8427,60.4
21,"ul. Wielkokacka, Witomino-Leśniczówka, Gdynia, pomorskie",445012.5,11867,37.5
22,"ul. Helska, Chylonia, Gdynia, pomorskie",444986.48,11108,40.06
23,"ul. Świętojańska, Śródmieście, Gdynia, pomorskie",384984.5,11575,33.26
24,"ul. Kartuska, Chylonia, Gdynia, pomorskie",598986.0,11196,53.5
25,"Plac Kaszubski 3, Śródmieście, Gdynia, pomorskie",519014.4,11904,43.6
26,"ul. Buraczana, Karwiny, Gdynia, pomorskie",559008.0,10352,54
27,"ul. Śląska, Działki Leśne, Gdynia, pomorskie",399003.44,7433,53.68
28,"ul. Śląska, Działki Leśne, Gdynia, pomorskie",398984.96,7249,55.04
29,"ul. Leśna, Mały Kack, Gdynia, pomorskie",440010.0,14667,30
30,"ul. Chylońska, Cisowa, Gdynia, pomorskie",484980.0,10275,47.2
31,"ul. Miętowa, Dąbrowa, Gdynia, pomorskie",488979.84,10128,48.28
32,"ul. Żeglarzy, Oksywie, Gdynia, pomorskie",399020.31,9243,43.17
33,"ul. Antoniego Abrahama, Śródmieście, Gdynia, pomorskie",510015.0,15455,33
34,"ul. Chylońska, Cisowa, Gdynia, pomorskie",363000.0,11000,33
35,"ul. Sępia, Pustki Cisowskie, Gdynia, pomorskie",539909.97,8997,60.01
36,"ul. Myśliwska, Wielki Kack, Gdynia, pomorskie",598995.0,13311,45
37,"Pustki Cisowskie, Gdynia, pomorskie",595003.43,9443,63.01
38,"Chylonia, Gdynia, pomorskie",497002.0,13079,38
